유형,동사원형,과거형,과거분사형,한글 뜻(핵심어 중심),레벨
Regular (-ed),compile,compiled,compiled,편집하다/컴파일하다,Difficult
Regular (-ed),complain,complained,complained,불평하다,Average
Regular (-ed),complete,completed,completed,완성하다,Easy
Regular (-ed),complicate,complicated,complicated,복잡하게 하다,Difficult
Regular (-ed),compose,composed,composed,작곡하다/구성하다,Average
Regular (-ed),compound,compounded,compounded,혼합하다/악화시키다,Difficult
Regular (-ed),comprehend,comprehended,comprehended,이해하다,Difficult
Regular (-ed),comprise,comprised,comprised,포함하다/구성하다,Average
Regular (-ed),compromise,compromised,compromised,타협하다/손상시키다,Difficult
Regular (-ed),compute,computed,computed,계산하다,Average
Regular (-ed),conceal,concealed,concealed,숨기다/감추다,Average
Regular (-ed),conceive,conceived,conceived,생각해내다/임신하다,Difficult
Regular (-ed),concentrate,concentrated,concentrated,집중하다/농축하다,Difficult
Regular (-ed),concern,concerned,concerned,관계하다/걱정하다,Average
Regular (-ed),concert,concerted,concerted,조율하다,Average
Regular (-ed),conclude,concluded,concluded,결론을 내리다/마무리하다,Average
Regular (-ed),condemn,condemned,condemned,비난하다/선고하다,Difficult
Regular (-ed),conduct,conducted,conducted,수행하다/지휘하다,Average
Regular (-ed),confer,conferred,conferred,수여하다/상의하다,Average
Regular (-ed),confess,confessed,confessed,고백하다/자백하다,Average
Regular (-ed),confide,confided,confided,털어놓다/신뢰하다,Difficult
Regular (-ed),confine,confined,confined,가두다/한정하다,Difficult
Regular (-ed),confirm,confirmed,confirmed,확인하다/확정하다,Average
Regular (-ed),conflict,conflicted,conflicted,충돌하다,Average
Regular (-ed),conform,conformed,conformed,따르다/순응하다,Difficult
Regular (-ed),confront,confronted,confronted,직면하다/대항하다,Difficult
Regular (-ed),confuse,confused,confused,혼란스럽게 하다,Average
Regular (-ed),congratulate,congratulated,congratulated,축하하다,Difficult
Regular (-ed),connect,connected,connected,연결하다/접속하다,Easy
Regular (-ed),consent,consented,consented,동의하다,Average
Regular (-ed),conserve,conserved,conserved,보존하다/아끼다,Difficult
Regular (-ed),consider,considerred,considerred,고려하다,Average
Regular (-ed),consist,consisted,consisted,구성되다/이루어지다,Average
Regular (-ed),constitute,constituted,constituted,구성하다/제정하다,Difficult
Regular (-ed),constrain,constrained,constrained,제한하다/강요하다,Difficult
Regular (-ed),construct,constructed,constructed,건설하다/구성하다,Average
Regular (-ed),consult,consulted,consulted,상의하다/참고하다,Average
Regular (-ed),consume,consumed,consumed,소비하다,Average
Regular (-ed),contact,contacted,contacted,연락하다,Average
Regular (-ed),contain,contained,contained,포함하다,Easy
Regular (-ed),contend,contended,contended,주장하다/겨루다,Difficult
Regular (-ed),contest,contested,contested,경쟁하다/이의를 제기하다,Average
Regular (-ed),continue,continued,continued,계속하다,Easy
Regular (-ed),contract,contracted,contracted,계약하다/수축하다,Average
Regular (-ed),contradict,contradicted,contradicted,모순되다/반박하다,Difficult
Regular (-ed),contrast,contrasted,contrasted,대조하다/대비되다,Average
Regular (-ed),contribute,contributed,contributed,기여하다/기부하다,Difficult
Regular (-ed),control,controlled,controlled,통제하다,Average
Regular (-ed),convene,convened,convened,소집하다/모이다,Difficult
Regular (-ed),converse,conversed,conversed,대화하다,Difficult
Regular (-ed),convert,converted,converted,전환하다/개종하다,Average
Regular (-ed),convey,conveyed,conveyed,전달하다/운반하다,Average
Regular (-ed),convict,convicted,convicted,유죄를 선고하다,Difficult
Regular (-ed),convince,convinced,convinced,설득하다,Difficult
Regular (-ed),cook,cooked,cooked,요리하다,Easy
Regular (-ed),cool,cooled,cooled,식히다/진정하다,Average
Regular (-ed),cooperate,cooperated,cooperated,협력하다,Average
Regular (-ed),coordinate,coordinated,coordinated,조정하다/조율하다,Difficult
Regular (-ed),cope,coped,coped,대처하다,Average
Regular (-ed),copy,copied,copied,복사하다/모방하다,Easy
Regular (-ed),copyright,copyrighted,copyrighted,저작권을 등록하다,Difficult
Regular (-ed),correct,corrected,corrected,수정하다/교정하다,Average
Regular (-ed),correspond,corresponded,corresponded,해당하다/연락하다,Difficult
Regular (-ed),corrupt,corrupted,corrupted,부패시키다,Difficult
Regular (-ed),cough,coughed,coughed,기침하다,Average
Regular (-ed),counsel,counselled,counselled,상담하다/충고하다,Difficult
Regular (-ed),count,counted,counted,세다,Easy
Regular (-ed),couple,coupled,coupled,연결하다/결합하다,Average
Regular (-ed),cover,coverred,coverred,덮다,Easy
Regular (-ed),crack,cracked,cracked,균열이 생기다/깨다,Average
Regular (-ed),craft,crafted,crafted,만들다/공들여 제작하다,Average
Regular (-ed),crash,crashed,crashed,충돌하다/추락하다,Average
Regular (-ed),crawl,crawled,crawled,기다/천천히 가다,Average
Regular (-ed),craze,crazed,crazed,열광시키다,Difficult
Regular (-ed),create,created,created,창조하다,Easy
Regular (-ed),credit,creditted,creditted,인정하다/입금하다,Average
Regular (-ed),crop,cropped,cropped,자르다/수확하다,Average
Regular (-ed),cross,crossed,crossed,건너다/가로지르다,Average
Regular (-ed),crowd,crowded,crowded,몰리다/붐비다,Average
Regular (-ed),crown,crowned,crowned,왕관을 씌우다/왕으로 만들다,Average
Regular (-ed),cruise,cruised,cruised,순항하다,Average
Regular (-ed),crush,crushed,crushed,짓누르다/좌절시키다,Average
Regular (-ed),cry,cried,cried,울다,Average
Regular (-ed),cultivate,cultivated,cultivated,경작하다/기르다,Difficult
Regular (-ed),cure,cured,cured,치료하다/고치다,Average
Regular (-ed),curl,curled,curled,말다/웅크리다,Average
Regular (-ed),curse,cursed,cursed,저주하다/욕하다,Average
